Date,Close,Retorno
03/08/2015,"2,919522555","0,34"
04/08/2015,-,-
05/08/2015,"2,922384832",-
06/08/2015,"2,868287797","-1,85"
07/08/2015,"2,925247109","1,99"
10/08/2015,"2,926678248","0,05"
11/08/2015,"2,928109386","0,05"
12/08/2015,"2,890899785","-1,27"
13/08/2015,-,-
14/08/2015,"2,932402802",-
17/08/2015,"2,93383394","0,05"
18/08/2015,"2,935265079","0,05"
19/08/2015,"2,932402802","-0,10"
20/08/2015,"2,932402802","0,00"
21/08/2015,-,-
24/08/2015,"2,940989633",-
25/08/2015,"2,942134544","0,04"
26/08/2015,"2,94385191","0,06"
27/08/2015,"2,945283048","0,05"
28/08/2015,"2,946714187","0,05"
31/08/2015,-,-
01/09/2015,"2,86657043",-
02/09/2015,"2,957825578","3,18"
03/09/2015,"2,983898477","0,88"
04/09/2015,-,-
07/09/2015,-,-
08/09/2015,-,-
09/09/2015,-,-
10/09/2015,-,-
11/09/2015,"2,954928589",-
14/09/2015,"2,967095942","0,41"
15/09/2015,"2,967965039","0,03"
16/09/2015,"2,970862028","0,10"
17/09/2015,"2,969413533","-0,05"
18/09/2015,-,-
21/09/2015,"2,974917812",-
22/09/2015,"2,976076608","0,04"
23/09/2015,-,-
24/09/2015,-,-
25/09/2015,-,-
28/09/2015,-,-
29/09/2015,"2,983898477",-
30/09/2015,-,-
01/10/2015,-,-
02/10/2015,-,-
05/10/2015,"3,074470641",-
06/10/2015,-,-
07/10/2015,"2,931137994",-
08/10/2015,-,-
09/10/2015,"3,001192192",-
12/10/2015,-,-
13/10/2015,-,-
14/10/2015,-,-
15/10/2015,"2,996502371",-
16/10/2015,"2,996502371","0,00"
19/10/2015,-,-
20/10/2015,"2,996502371",-
21/10/2015,"2,996502371","0,00"
22/10/2015,-,-
23/10/2015,"2,996502371",-
26/10/2015,-,-
27/10/2015,"2,996502371",-
28/10/2015,-,-
29/10/2015,-,-
30/10/2015,"2,996502371",-
02/11/2015,-,-
03/11/2015,"3,028238068","1,06"
04/11/2015,"3,019340209","-0,29"
05/11/2015,"3,019340209","0,00"
06/11/2015,"3,016374256","-0,10"
09/11/2015,"3,016374256","0,00"
10/11/2015,-,-
11/11/2015,"3,016374256",-
12/11/2015,"2,965953054","-1,67"
13/11/2015,-,-
16/11/2015,"3,016374256",-
17/11/2015,"3,016374256","0,00"
18/11/2015,"3,016374256","0,00"
19/11/2015,"3,016374256","0,00"
20/11/2015,-,-
23/11/2015,"3,016374256","0,00"
24/11/2015,"3,016374256","0,00"
25/11/2015,-,-
26/11/2015,"3,019340209",-
